127.0.0.1 - - [07/Mar/2017:10:52:07 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:09 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:09 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:15 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:15 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:16 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:19 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2FAssignment2Solution.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:23 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2FAssignment2Solution.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:52:26 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2FAssignment2Solution.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:53:05 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:53:05 -0800] "GET /Assignment_2/jsp/login.jsp HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:53:08 -0800] "GET /Assignment_2/jsp/signup.jsp? HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:53:10 -0800] "GET /Assignment_2/SignupServlet?fullname=&username=&password=&imgurl= HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:53:14 -0800] "GET /Assignment_2/SignupServlet?fullname=d&username=dkempe&password=d&imgurl=d HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:53:14 -0800] "GET /Assignment_2/jsp/login.jsp?password=d&imgurl=d&submit=Sign+Up HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:55:30 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2FAssignment2Solution.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:55:31 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2FAssignment2Solution.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 119
